Year,Value,Category,Metric,Statistic
2011,7.7,All Countries,Area of Residence,Average Length of Stay by Overseas Travellers to Ireland (Nights)
2011,4.8,"Great Britain (includes England, Scotland, Wales)",Area of Residence,Average Length of Stay by Overseas Travellers to Ireland (Nights)
2011,10.3,France,Area of Residence,Average Length of Stay by Overseas Travellers to Ireland (Nights)
2011,9.3,Germany,Area of Residence,Average Length of Stay by Overseas Travellers to Ireland (Nights)
2011,9.5,Italy,Area of Residence,Average Length of Stay by Overseas Travellers to Ireland (Nights)
2011,10.2,Other Europe (14),Area of Residence,Average Length of Stay by Overseas Travellers to Ireland (Nights)
2011,8.8,United States and Canada,Area of Residence,Average Length of Stay by Overseas Travellers to Ireland (Nights)
2011,11.7,Australia and New Zealand,Area of Residence,Average Length of Stay by Overseas Travellers to Ireland (Nights)
2011,15.4,Other countries (18),Area of Residence,Average Length of Stay by Overseas Travellers to Ireland (Nights)
2012,7.4,All Countries,Area of Residence,Average Length of Stay by Overseas Travellers to Ireland (Nights)
2012,4.6,"Great Britain (includes England, Scotland, Wales)",Area of Residence,Average Length of Stay by Overseas Travellers to Ireland (Nights)
2012,9.2,France,Area of Residence,Average Length of Stay by Overseas Travellers to Ireland (Nights)
2012,9,Germany,Area of Residence,Average Length of Stay by Overseas Travellers to Ireland (Nights)
2012,9.5,Italy,Area of Residence,Average Length of Stay by Overseas Travellers to Ireland (Nights)
2012,9.1,Other Europe (14),Area of Residence,Average Length of Stay by Overseas Travellers to Ireland (Nights)
2012,8.5,United States and Canada,Area of Residence,Average Length of Stay by Overseas Travellers to Ireland (Nights)
2012,11.6,Australia and New Zealand,Area of Residence,Average Length of Stay by Overseas Travellers to Ireland (Nights)
2012,13.9,Other countries (18),Area of Residence,Average Length of Stay by Overseas Travellers to Ireland (Nights)
2013,7.3,All Countries,Area of Residence,Average Length of Stay by Overseas Travellers to Ireland (Nights)
2013,4.7,"Great Britain (includes England, Scotland, Wales)",Area of Residence,Average Length of Stay by Overseas Travellers to Ireland (Nights)
2013,8.9,France,Area of Residence,Average Length of Stay by Overseas Travellers to Ireland (Nights)
2013,9.6,Germany,Area of Residence,Average Length of Stay by Overseas Travellers to Ireland (Nights)
2013,9,Italy,Area of Residence,Average Length of Stay by Overseas Travellers to Ireland (Nights)
2013,8.8,Other Europe (14),Area of Residence,Average Length of Stay by Overseas Travellers to Ireland (Nights)
2013,8.2,United States and Canada,Area of Residence,Average Length of Stay by Overseas Travellers to Ireland (Nights)
2013,11.8,Australia and New Zealand,Area of Residence,Average Length of Stay by Overseas Travellers to Ireland (Nights)
2013,14.1,Other countries (18),Area of Residence,Average Length of Stay by Overseas Travellers to Ireland (Nights)
2014,7.2,All Countries,Area of Residence,Average Length of Stay by Overseas Travellers to Ireland (Nights)
2014,4.5,"Great Britain (includes England, Scotland, Wales)",Area of Residence,Average Length of Stay by Overseas Travellers to Ireland (Nights)
2014,8.8,France,Area of Residence,Average Length of Stay by Overseas Travellers to Ireland (Nights)
2014,9.5,Germany,Area of Residence,Average Length of Stay by Overseas Travellers to Ireland (Nights)
2014,9.5,Italy,Area of Residence,Average Length of Stay by Overseas Travellers to Ireland (Nights)
2014,9,Other Europe (14),Area of Residence,Average Length of Stay by Overseas Travellers to Ireland (Nights)
2014,7.4,United States and Canada,Area of Residence,Average Length of Stay by Overseas Travellers to Ireland (Nights)
2014,12.5,Australia and New Zealand,Area of Residence,Average Length of Stay by Overseas Travellers to Ireland (Nights)
