Year,Value,Category,Metric,Statistic
1976,69,Holiday/leisure/recreation,Reason for Journey,Expenditure by Vistors to Ireland (Euro Million)
1976,553,Holiday/leisure/recreation,Reason for Journey,Visitors to Ireland (Thousand)
1976,,Holiday/leisure/recreation,Reason for Journey,Average Length of Stay by Visitors to Ireland (Nights)
1976,43,Visit to friends/relatives,Reason for Journey,Expenditure by Vistors to Ireland (Euro Million)
1976,494,Visit to friends/relatives,Reason for Journey,Visitors to Ireland (Thousand)
1976,,Visit to friends/relatives,Reason for Journey,Average Length of Stay by Visitors to Ireland (Nights)
1976,15,Business,Reason for Journey,Expenditure by Vistors to Ireland (Euro Million)
1976,188,Business,Reason for Journey,Visitors to Ireland (Thousand)
1976,,Business,Reason for Journey,Average Length of Stay by Visitors to Ireland (Nights)
1976,4,Other reason for journey,Reason for Journey,Expenditure by Vistors to Ireland (Euro Million)
1976,75,Other reason for journey,Reason for Journey,Visitors to Ireland (Thousand)
1976,,Other reason for journey,Reason for Journey,Average Length of Stay by Visitors to Ireland (Nights)
1977,98,Holiday/leisure/recreation,Reason for Journey,Expenditure by Vistors to Ireland (Euro Million)
1977,665,Holiday/leisure/recreation,Reason for Journey,Visitors to Ireland (Thousand)
1977,,Holiday/leisure/recreation,Reason for Journey,Average Length of Stay by Visitors to Ireland (Nights)
1977,56,Visit to friends/relatives,Reason for Journey,Expenditure by Vistors to Ireland (Euro Million)
1977,494,Visit to friends/relatives,Reason for Journey,Visitors to Ireland (Thousand)
1977,,Visit to friends/relatives,Reason for Journey,Average Length of Stay by Visitors to Ireland (Nights)
1977,20,Business,Reason for Journey,Expenditure by Vistors to Ireland (Euro Million)
1977,214,Business,Reason for Journey,Visitors to Ireland (Thousand)
1977,,Business,Reason for Journey,Average Length of Stay by Visitors to Ireland (Nights)
1977,11,Other reason for journey,Reason for Journey,Expenditure by Vistors to Ireland (Euro Million)
1977,102,Other reason for journey,Reason for Journey,Visitors to Ireland (Thousand)
1977,,Other reason for journey,Reason for Journey,Average Length of Stay by Visitors to Ireland (Nights)
1978,132,Holiday/leisure/recreation,Reason for Journey,Expenditure by Vistors to Ireland (Euro Million)
1978,838,Holiday/leisure/recreation,Reason for Journey,Visitors to Ireland (Thousand)
1978,,Holiday/leisure/recreation,Reason for Journey,Average Length of Stay by Visitors to Ireland (Nights)
1978,52,Visit to friends/relatives,Reason for Journey,Expenditure by Vistors to Ireland (Euro Million)
1978,486,Visit to friends/relatives,Reason for Journey,Visitors to Ireland (Thousand)
1978,,Visit to friends/relatives,Reason for Journey,Average Length of Stay by Visitors to Ireland (Nights)
1978,28,Business,Reason for Journey,Expenditure by Vistors to Ireland (Euro Million)
1978,269,Business,Reason for Journey,Visitors to Ireland (Thousand)
1978,,Business,Reason for Journey,Average Length of Stay by Visitors to Ireland (Nights)
1978,8,Other reason for journey,Reason for Journey,Expenditure by Vistors to Ireland (Euro Million)
1978,80,Other reason for journey,Reason for Journey,Visitors to Ireland (Thousand)
1978,,Other reason for journey,Reason for Journey,Average Length of Stay by Visitors to Ireland (Nights)
1979,140,Holiday/leisure/recreation,Reason for Journey,Expenditure by Vistors to Ireland (Euro Million)
1979,790,Holiday/leisure/recreation,Reason for Journey,Visitors to Ireland (Thousand)
1979,,Holiday/leisure/recreation,Reason for Journey,Average Length of Stay by Visitors to Ireland (Nights)
1979,67,Visit to friends/relatives,Reason for Journey,Expenditure by Vistors to Ireland (Euro Million)
